Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS
Guidewire Software,Consulting,Digital Risk, Tech Assurance,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","Use STAR method. Highlight technical challenges and collaborative solutions.",Yes
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,"How do you handle working with cross-functional teams?","Focus on communication across engineering, design, and business units.",Yes
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,"Tell me about a time you used data to solve a business problem.","Showcase decision-making based on metrics and user data.",Yes
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,"Tell me about yourself.","Professional introduction tailored to product management and tech.",Yes
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.","Highlight projects involving product metrics, SQL, or user behavior analysis.",Yes
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,"What are your long-term career goals in analytics?","Connect interest in data with product leadership aspirations.",Yes
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,"What motivates you to work in the analytics field?","Discuss the power of data to reveal insights and drive product strategy.",Yes
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,"Why MBA?","Explain the desire to bridge technical skills with business strategy.",Yes
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,"Why are you interested in our company and this role?","Mention Guidewire's position in the P&C insurance industry and software leadership.",Yes
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,"Why did you choose Business Analytics as your specialization?","Express interest in making informed, data-backed business decisions.",Yes
IDFC First Bank,InsurTech,Product Manager Intern,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","Use STAR method. Focus on financial or tech-related challenges if possible.",Yes
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,"How do you handle working with cross-functional teams?","Demonstrate ability to work with diverse stakeholders in a banking context.",Yes
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,"Tell me about a time you used data to solve a business problem.","Provide an example involving market data, customer segmentation, or financial analysis.",Yes
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,"Tell me about yourself.","Brief summary of education and experience relevant to banking and analytics.",Yes
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.","Highlight analytical rigor and results in previous projects.",Yes
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,"What are your long-term career goals in analytics?","Discuss aspirations within the fintech or banking analytics verify.",Yes
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,"What motivates you to work in the analytics field?","Focus on the impact of analytics on financial products and customer experience.",Yes
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,"Why MBA?","Explain the need for holistic business understanding in the financial sector.",Yes
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,"Why are you interested in our company and this role?","Research IDFC First Bank's digital-first approach and culture.",Yes
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,"Why did you choose Business Analytics as your specialization?","Link analytics to the future of banking and personalized financial services.",Yes
Indian Bank,Financial Services,Market Research Intern,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","STAR method. Emphasize perseverance and problem-solving.",Yes
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,"How do you handle working with cross-functional teams?","Focus on collaboration in a structured, potentially hierarchical environment.",Yes
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,"Tell me about a time you used data to solve a business problem.","Example should ideally relate to finance, efficiency, or reporting.",Yes
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,"Tell me about yourself.","Concise professional introduction.",Yes
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.","Explain projects clearly, focusing on your specific contributions.",Yes
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,"What are your long-term career goals in analytics?","Discuss a future in financial data analysis or management.",Yes
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,"What motivates you to work in the analytics field?","Mention accuracy, finding truth in numbers, and optimizing performance.",Yes
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,"Why MBA?","To gain broadly applicable business skills and accelerate career growth.",Yes
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,"Why are you interested in our company and this role?","Show interest in the public sector banking space and its scale.",Yes
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,"Why did you choose Business Analytics as your specialization?","To apply modern analytical techniques to traditional banking problems.",Yes
Kyoren Labs,Financial Services,Financial Analytics Intern,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","STAR method. Highlight innovation and technical challenges.",Yes
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,"How do you handle working with cross-functional teams?","Focus on agility and working with developers/stakeholders.",Yes
